rating,title,Review,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
4,B Complex in gel cap form,I bought this along with Vit C in gel cap form because a doctor explained on his website that he tests the blood of his patients regularly for the levels of various supplements he recommends and he claimed that pills seemed to result in extremely poor and uneven levels in the body. He also claimed gel caps were much better compared to pills in terms of a more even and reliable absorption into the blood stream.,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,11-12-2009 00:37,1,TRUE
5,Five Stars,great product,B00013Z0ZQ,B00013Z0ZQ,AG3BSKXHDGP6E3EGQD2SXCK6KFQQ,04-01-2015 03:11,0,TRUE
5,Five Stars,Came as expectedly,B00013Z0ZQ,B00013Z0ZQ,AHG2WKFD4LXPC46WWC6JMQGX52JA,27-09-2015 19:15,0,TRUE
5,Vitamin Shoppe Dry Vitamin A,Excellent Product ..... Fast Delivery ....... Will Buy From Again ........ A???,B00013Z1KA,B00013Z1KA,AEOF7RT3AC4ACRX5HGIP2V3BNIHA,33:16.9,0,TRUE
5,Un producto que compro regularmente,Es muy buena vitamina,B00013Z1KA,B00013Z1KA,AGW2WETWQRL2PKUGTL2LU7IJ2BPQ,11:10.9,0,TRUE
5,Natural Sources,I have been taking this product for years.  I like that it is from all natural sources.,B00014D0IY,B00014D0IY,AHAHKQ4GXWPCBMPUBHOOGKBQWKAA,18-12-2015 14:05,0,TRUE
5,Liver Support supplement,I have had good results with this support vitamin.  I even had family member try and said it helped them as well.,B00014DY62,B00014DY62,AHZSW5KOLYC4RD2N5BMNT2RTZNMQ,23-03-2014 17:52,0,TRUE
4,"I feel this is working, had chemotherapy and auto ...","I feel this is working, had chemotherapy and auto immune disorder (on going) and this seems to give me a boost for my liver (clean blood).",B00014DY62,B00014DY62,AFNIV34LQAGE52FIFTCOPDATQROA,13-05-2016 06:14,0,TRUE
5,Five Stars,??ç,B00014DY62,B00014DY62,AGBGE7ELMWGDUKMFO7QDPLACZRFQ,29-06-2016 00:05,0,TRUE
5,Five Stars,Very good value!,B00014DY62,B00014DY62,AHM5DKU6HRHFSPOM6N4AY5AVMORQ,08-12-2016 20:19,0,TRUE
5,Good product,As per expectation,B00014ECTA,B00014ECTA,AGIPFR5ZH6SA4MLXSFMTASZAUDRQ,35:58.2,0,TRUE
5,I love this product. There is no duplicate.,"I love this extremely good for you, hard to find at a reasonable price product. I feel, see, and look better when I take either two 10,000 or one 25,000 iu gel cap per day. Research it's ingredients to learn of it's many health benefits.",B00014FSO8,B00014FSO8,AGRBUBT7LHPHLYCKVHTLBQNKD4RA,25-09-2014 09:46,1,TRUE
5,Five Stars,Get all you need in one time released vitamin.,B00014GBEY,B00014GBEY,AHYFSYXZ3BZLFHMLK47YPOWMEJNQ,14-07-2016 11:19,0,TRUE
4,Working Wll,"Am taking at present with no bad taste or smell and easy to swallow, so fine product that works for me.",B00014I4KS,B00014I4KS,AFREVDPZUNBGIB6NW5KLRWINL7LQ,03-11-2013 13:56,0,TRUE
5,Five Stars,Tiny pills that are perfect,B00014UG7W,B00014UG7W,AHTUYY6KIK7HQEEPHARFYUG737RQ,23:04.5,0,TRUE
4,Different Packaging,"It looks like the product sent is comparable, though the label is different and the brand I received is Nutricology, not Allergy Research Group as shown in the picture here.",B000169ELO,B000169ELO,AET25RCAQHBECDQZPDDULGBKFGLQ,10-03-2012 01:48,4,TRUE
1,Aweful smell,"These smelled so bad and tasted so bad that I couldn't keep taking them. I threw them out. Maybe I had a bad batch, but now I'll never know if they help.",B000169ELO,B000169ELO,AGYGMBYTNX7UATEX4VXGLNAJ6JNA,25-05-2013 07:13,4,TRUE
2,Strong smell & less effective,"I use L-methionine to lower my dog's urinary ph, and decided to try this brand because it cost less. Not worth it. It has a very strong smell that the dog doesn't like and it didn't lower the ph like my usual brand. I am going back to TwinLab.",B000169ELO,B000169ELO,AGZNVWN34LUIOC7JA6AMBHNGN26Q,14-06-2013 18:05,5,TRUE
5,Solves a LOT of problems,"If you know what this does, you know why it's necessary to some of us. For me, it replaces TWO THIRDS of the expensive daily dose of 5-HTP I needed to remain depression-free.<br /><br />The pills are a bit large, and this med smells like old socks when you open the jar (every time you do so). It doesn't taste bad, though, and it's worth it.",B000169ELO,B000169ELO,AEFQNYK2UW6CNO6AAGQ2V762IC5Q,13-07-2013 20:58,8,TRUE
2,Stopped after taking it for 3 days because it gave me extreme nauseau,"It's not for me.  I didn't take this long enough to say if it helps in any way because I got extremely nauseaus from taking it and quit after 3 days.  The first day I had a basic upset stomach, the next day it was worse, the 3rd day I vommited within 20 minutes of taking it.  Perhaps taking it with food would have helped, but the directions specifically say to take 'between' meals and based on the research I did, it has to be taken on an empty stomach to be absorbed.  I dont think the product itself is bad; it's just not tolerated by me.  Hope others have better luck.",B000169ELO,B000169ELO,AGYCDIDUI7CMV6OEUMDJQWT4L7CA,19-07-2014 16:30,4,TRUE
5,Love this Product,I love this product! It has relieved a lot of depression!,B000169ELO,B000169ELO,AGIBWKUH4SMTK6LFY44X3BRDB6TA,13-05-2017 16:06,2,TRUE
5,picture is not correct,This is a wonderful and very effective allergy product. The description is correct but not the photo. The helps me so much during allergy season and I don't have to take more powerful drugs that have side effects.<br />The item pictured is a really good sore throat spray. Thank you Zand.,B00016AU6W,B00016AU6W,AEKVJPBQ7ZS727NQFDOJHJYYD7XQ,30-09-2012 21:17,1,TRUE
5,"Excellent product, relieves my allergy symptoms without side effects of any kind!","Much more effective and gentler than any pharmaceutical drugs for allergies.This is my second bottle, and I had have no unwanted effects (like sleepiness) at all. Love these!",B00016AU6W,B00016AU6W,AGKCLCBZ2KP2HB2JNUDC6RG6KM2A,09-03-2013 17:17,0,TRUE
5,Five Stars,Just what I needed-fast shipping.,B00020IHJO,B00020IHJO,AECJCSG2WLNCOCBBSGAZWFMDBFYA,03-06-2015 17:32,0,TRUE
5,I take them every day,I've been buying these for about 14 years and I take them every day. I love it that there aren't a lot of extra ingredients. I am sensitive to many things and I can take these to help get the vitamins and minerals I need.,B00028MWT2,B00028MWT2,AEC6VRIQHKDWODI6RLYHKJFXHNWQ,09-05-2014 05:06,0,TRUE
5,Five Stars,Purchased for my daughter's  trip to India.  She loves them for a quick snack and meal replacement.,B00028NB3I,B00028NB3I,AGX3B56CGCVJHN2LH6PCML2C7VQA,08-04-2017 10:15,0,TRUE
2,6 capsules a day!,Didn't know that the daily dose is 6 capsules.  Poor buy at that daily requirement.,B00028NFW0,B00028NFW0,AELQYX25ISEPZ4KIGXBRDYBXYGVA,40:02.3,0,TRUE
5,excellent at relieving stress,"this was recommended initially by an employee at a health food store.  he recommended taking 3 tablets in the AM and 3 at bed-time.  while this is probably overkill, and may not be recommended by true health care professionals, it works for me in improving my  mood and sense of well-being.  for safety, i recommend following the instructions on the Mega Stress 100 label, and of course following your health care professional's advice before taking any supplements.  however, the solution i outlined above has worked for me with great results.  granted, it can get expensive, which is why i chose to purchase the product from amazon instead of a local vendor with high overhead costs. Please let me know if you found this review helpful.",B00028NY44,B00028NY44,AHYXPH2PZZELOQB7T4CUIG5DKNXQ,24-12-2013 14:08,1,TRUE
5,great product,"I take this for energy and to stop my hair from failling out.  It gets 4 starts on both counts.  I've tried other B-complex vitamins, but have the best results with Mega Stress 100.",B00028NY44,B00028NY44,AEQWJK2F2SJURGLU6MEUMLV2IXNQ,23-03-2014 12:55,0,TRUE
3,Three Stars,sligltly better than average,B00028NY44,B00028NY44,AHMJGITQA7MILUTFFKIKD3GNPCFA,19-10-2014 10:01,0,TRUE
5,I love this tea!!!,"I blend this herb with oat straw, nettle and horsetail, recommended for combatting dry skin and hair, to make a herbal tea infusion.  This tea blend is really  delicious drunk with lemon and I look forward to drinking it daily.  I also love drinking it alone or blended with Jamaica sorrel.  It is a delightful and nutritious herb whether drunk alone or blended with other herbs. The rose hips are naturally sweet and  I also love eating it after removing the herb from the tea infusion.",B00028OI8U,B00028OI8U,AFEYFUXKBNKWNIZCCI3ANUEGKJJQ,08-03-2009 22:01,0,TRUE
5,Good buy,"I love Rosehips tea since childhood, used to gather it myself before and sundry.. I like that it doesn't have the seeds and that it's crushed, lets you put less to brew the tea. Great taste !",B00028OI8U,B00028OI8U,AGPZEN3TSXLCZIQADUVHPBRWRVVQ,29-09-2011 01:15,1,TRUE
5,Five Stars,i always use this item it is great,B00028OI8U,B00028OI8U,AFAGOVAXMOHFQVOUIMFYS7F4HEXA,07-01-2015 16:03,0,TRUE
5,Healthy brain,"This product has improved my clarity, moods and my overall sense of well being. Have been using it for more than 6 months now",B00028QCRU,B00028QCRU,AHUJTTH3MRP33636ESFRGYBKWFYA,14-07-2013 09:51,2,TRUE
5,Five Stars,Excellent product. Very pleased with purchase. Will buy again.,B00028QCRU,B00028QCRU,AGK2ZWCN4DSZSWDSFO7IZ52YPBGQ,20-10-2015 06:33,0,TRUE
5,Pleased,"I am pleased with the product and look forward to re-ordering it soon.  My hair has thickened significantly; however, I think it is a result of the bioton, zinc, iron, and hair regimen I devised for myself.  Overall, biotin is a necessary component to my hair health.  I seen a difference within 60 days of using the product.",B0002C9RHS,B0002C9RHS,AFB6Q3ICM5ITK2KCINAY3RW7NWEQ,02-09-2010 22:24,3,TRUE
5,happy for this strength!,"my husband uses this for anxiety and depression help, like they talk about in the movie ""food matters"" it is a huge help for him and with the high dose he needs this is the perfect dose capsule because he can take fewer pills. love life extension brand!",B0002D34K8,B0002D34K8,AF5GU4RR5Y6ADYC7RKFDSYL2DRVQ,06-03-2012 03:05,6,TRUE
5,good brand-good product,It's the easy way to reduce your cholesterol. Up to 60 points in 2 months with no diet change. Safer than the pills DR. gives you. The flushing gets less everytime you use it.,B0002D34K8,B0002D34K8,AGIVKQGDSRFISBECGZIAQQBUDV6Q,13-09-2012 10:02,1,TRUE
4,"Cheapest price on Niacin I've found,  Has my Dr. approval.",Just started taking it so we'll see how it works on cholestrol.  One of the few places I found B3 (Niacin) that didn't cost a car payment per month.,B0002D34K8,B0002D34K8,AEVRTZR6D5PNFZKRXSZEQMWLT5TA,17-09-2012 12:33,0,TRUE
1,Watch out - this almost sent me to the hospital,"I took one pill after hearing niacin recommended for depression. After 10 minutes my skin was bright red and on FIRE, I was sick and swollen and could barely breathe. DEFINITELY get a lower dosage, this is way too much!",B0002D34K8,B0002D34K8,AG6WLI3TWOVPS7DD352JT44G6ONQ,11-03-2013 23:46,0,TRUE
5,Works perfectly,"I take this at bedtime with a 325mg regular strength aspirin (available for less than a buck at dollar store or walmart). I don't remember well but maybe I noticed my skin flush once when I woke up while sleeping but I forgot about that by going back to sleep. After that, I had no problems with flushing. But the important thing I think was that I was taking 500mg at night so my body had gotten a bit used to taking the niacin. So if you aren't already on the 500mg then I would not recommend starting on this dose because it's too high to start taking at the beginning. Start with 500mg & then when you're ready, step it up to this 1000mg dose.",B0002D34K8,B0002D34K8,AFJJ26UZXHIUEJZRJHNG2CJXYJZA,23-04-2013 05:25,0,TRUE
3,"Might make you hot, red, and itchy","I ordered this for my husband and I. It did make me hot and a little itchy but my poor husband was so red, itchy, and hot, he did not like it at all. If you don't mind the hot and itchiness for 10 minutes I would recommend it but just be warned some people are a little more sensitive to it than others like my husband.",B0002D34K8,B0002D34K8,AHCJALAMDFEHGGSAGPVM72D7ZSZQ,26-04-2013 07:45,1,TRUE
1,I had a kind of bad reaction to it.,About 30 miinutes after taking it I began to feel a burning sensation in my face and chest. It went away after an hour or so. ... Scared the heck out of me... I tossed the rest of the bottle after one pill.,B0002D34K8,B0002D34K8,AGJJI65PLYEITCOQ6DC2YTRIOYSQ,22-05-2013 17:44,0,TRUE
3,Not for me!,"I just couldn't handle the &#34;flush&#34;, I have taken supplements my whole life, but I do not drink energy drinks and I got that same feeling when I took these. I am sure it's a great product but I cannot take it.",B0002D34K8,B0002D34K8,AHRGMYQB7XG3UVWYCIGG5T27JBUA,12-09-2013 17:42,0,TRUE
1,Sent me to the hospital,"Within 10 minutes of taking it my entire body went red, and it felt like it was on FIRE.. literally. Then I had the most terrible cramps.  I almost thought I was going to die.  Spent several hours in the emergency room.  it was a horrific experience.  All I can say is be very careful.  Going to an allergist to ensure that something like this never happens again!",B0002D34K8,B0002D34K8,AEC5XWTUK35P34CKUFHMJKRBUECQ,09-10-2013 14:17,0,TRUE
4,Good B3,"Very good vitamin product.i take to reduce cholesterol. Sometimes causes a flush, but not too bad. Overall a good product.",B0002D34K8,B0002D34K8,AEGI3QRMKI56K7M7RBXDDICBGHGA,10-01-2014 18:08,0,TRUE
5,Love that I can feel this working,People at first think that the niacin flush is a weird feeling which I guess what it is but after you get used to it you come to appreciate that you can tell that it's actually working,B0002D34K8,B0002D34K8,AG4NHL3ILXMNPJTATXGWXJKY7HGQ,06-02-2016 04:09,0,TRUE
4,It works !,"I have used Pollen Aid for a while but I was not completely satisfied with the results. This time I doubled the dosis. I take 2 capsules three times a day. Now I can feel the diference. If you are using it to treat your enlarged prostate, try it this way.",B0002DUEXS,B0002DUEXS,AG45XHNO6X53WOJSLU7RFUAGENVA,32:43.0,9,TRUE
2,Help for prostate enlargement,"A friend told me about this becasue it was recommended by his Dr.  It has apparently been a big help to my friend.  However I've been taking it faithfully for about 2 1/2 months now and have not experienced any relief so far.  So while it may be effective for some, it was not effective for me.  I will finish my second supply, but will not purchase this product any more unless it begins to make a difference.",B0002DUEXS,B0002DUEXS,AFCQHOBVOEOZLS2JISJMJDGBHOOQ,57:51.0,2,TRUE
